Pressure (P),Temperature (T),Z
100,304,0.9416295501597769
100,305,0.9425870546671811
100,306,0.9435317929617338
100,307,0.9444639662245511
100,308,0.9453837718786224
100,309,0.9462914036704936
100,310,0.9471870517499199
100,311,0.9480709027475487
100,312,0.9489431398506838
100,313,0.9498039428771871
110,294,0.9244357663050917
110,295,0.9256425995760011
110,296,0.9268329281556199
110,297,0.9280070201641692
110,298,0.9291651385514268
110,299,0.9303075412128048
110,300,0.9314344811024482
110,301,0.9325462063434409
110,302,0.9336429603352032
110,303,0.9347249818581592
110,304,0.9357925051757547
110,305,0.9368457601338993
110,306,0.9378849722579072
110,307,0.9389103628470062
110,308,0.9399221490664847
110,309,0.940920544037543
110,310,0.9419057569249119
110,311,0.9428779930223035
110,312,0.9438374538357521
110,313,0.9447843371649058
120,294,0.9175662905146456
120,295,0.9188828359010921
120,296,0.9201813761697671
120,297,0.9214622038154573
120,298,0.9227256056924656
120,299,0.9239718631412416
120,300,0.9252012521117615
120,301,0.9264140432837537
120,302,0.9276105021838581
120,303,0.9287908892998101
120,304,0.9299554601917324
120,305,0.9311044656006174
120,306,0.9322381515540805
120,307,0.9333567594694613
120,308,0.934460526254347
120,309,0.9355496844045923
120,310,0.9366244620999039
120,311,0.9376850832970584
120,312,0.9387317678208205
120,313,0.9397647314526246
130,294,0.9106968147241993
130,295,0.912123072226183
130,296,0.9135298241839145
130,297,0.9149173874667454
130,298,0.9162860728335044
130,299,0.9176361850696784
130,300,0.9189680231210751
130,301,0.9202818802240664
130,302,0.9215780440325129
130,303,0.9228567967414609
130,304,0.92411841520771
130,305,0.9253631710673355
130,306,0.9265913308502539
130,307,0.9278031560919164
130,308,0.9289989034422093
130,309,0.9301788247716417
130,310,0.9313431672748959
130,311,0.9324921735718131
130,312,0.9336260818058888
130,313,0.9347451257403432
140,294,0.9038273389337531
140,295,0.9053633085512741
140,296,0.9068782721980617
140,297,0.9083725711180336
140,298,0.9098465399745431
140,299,0.9113005069981152
140,300,0.9127347941303886
140,301,0.9141497171643792
140,302,0.9155455858811677
140,303,0.9169227041831117
140,304,0.9182813702236878
140,305,0.9196218765340536
140,306,0.9209445101464273
140,307,0.9222495527143715
140,308,0.9235372806300715
140,309,0.9248079651386911
140,310,0.9260618724498879
140,311,0.927299263846568
140,312,0.9285203957909572
140,313,0.929725520028062
150,294,0.8969578631433069
150,295,0.8986035448763652
150,296,0.900226720212209
150,297,0.9018277547693216
150,298,0.903407007115582
150,299,0.904964828926552
150,300,0.906501565139702
150,301,0.908017554104692
150,302,0.9095131277298225
150,303,0.9109886116247626
150,304,0.9124443252396655
150,305,0.9138805820007718
150,306,0.9152976894426007
150,307,0.9166959493368265
150,308,0.9180756578179338
150,309,0.9194371055057404
150,310,0.9207805776248799
150,311,0.9221063541213229
150,312,0.9234147097760256
150,313,0.9247059143157808
