Pressure (P),Temperature (T),Z (Pitzer),Z (PR),Z (RK)
10,273,0.9767381671908172,0.9708279476019599,0.9753888988899755
10,274,0.9770334849284033,0.9711675289624161,0.9756921320808585
10,275,0.9773246655469429,0.971502567339544,0.9759910803183978
10,276,0.9776117800147188,0.9718331394098347,0.9762858196370889
10,277,0.977894897841621,0.9721593202500601,0.9765764244157198
10,278,0.9781740871141673,0.9724811833775283,0.9768629674205591
10,279,0.9784494145295634,0.9727988007891317,0.977145519847201
10,280,0.978720945428827,0.9731122429992547,0.9774241513611515
10,281,0.9789887438290104,0.9734215790765515,0.9776989301371741
10,282,0.9792528724545434,0.9737268766796521,0.9779699228974579
10,283,0.9795133927677298,0.9740282020918326,0.9782371949486253
10,284,0.9797703649984173,0.9743256202546701,0.978500810217646
10,285,0.980023848172871,0.974619194800734,0.9787608312866807
10,286,0.9802739001418705,0.974908988085335,0.9790173194268863
10,287,0.9805205776080579,0.9751950612173655,0.9792703346312321
10,288,0.9807639361525556,0.975477474089265,0.9795199356463529
10,289,0.9810040302608788,0.9757562854061345,0.9797661800034685
10,290,0.9812409133481619,0.9760315527140262,0.980009124048409
10,291,0.9814746377837206,0.976303332427453,0.9802488229707695
10,292,0.9817052549149677,0.9765716798561087,0.9804853308322226
10,293,0.9819328150907038,0.976836649230864,0.9807187005940305
10,294,0.9821573676837996,0.9770982937290331,0.980948984143754
10,295,0.9823789611132886,0.9773566654989458,0.9811762323212212
10,296,0.9825976428658879,0.9776118156838437,0.9814004949437496
10,297,0.9828134595169619,0.9778637944451274,0.9816218208306644
10,298,0.9830264567509472,0.978112650984971,0.9818402578271253
10,299,0.983236679381254,0.9783584335683191,0.982055852827292
10,300,0.9834441713696572,0.9786011895442988,0.9822686517968451
10,301,0.9836489758451945,0.9788409653670472,0.9824786997948771
10,302,0.9838511351225842,0.979077806615992,0.9826860409951985
10,303,0.9840506907201764,0.9793117580155887,0.9828907187070333
10,304,0.9842476833774516,0.9795428634545319,0.9830927753951748
10,305,0.9844421530720794,0.9797711660044582,0.9832922526995722
10,306,0.9846341390365486,0.9799967079381737,0.9834891914544033
10,307,0.9848236797743832,0.9802195307473772,0.9836836317066213
10,308,0.9850108130759531,0.980439675159948,0.9838756127340091
